application-body/@lang	pat:ApplicationBody/@com:languageCode
application-body/@file	pat:ApplicationBody/@com:documentFileName
application-body/@file-reference-id	pat:ApplicationBody/@com:fileReferenceIdentifier
application-body/@country	pat:ApplicationBody/@com:receivingOffice
application-body/@status	pat:ApplicationBody/@pat:applicationBodyStatus
application-body/doc-page	pat:ApplicationBody/pat:DocumentURI
application-body/description	pat:ApplicationBody/pat:Description
application-body/description/@id	pat:ApplicationBody/pat:Description/@com:id
application-body/description/@lang	pat:ApplicationBody/pat:Description/@com:languageCode
application-body/description/doc-page	pat:ApplicationBody/pat:Description/pat:DocumentURI
application-body/description/invention-title	pat:ApplicationBody/pat:Description/pat:InventionTitle
application-body/description/technical-field	pat:ApplicationBody/pat:Description/pat:TechnicalField
application-body/description/technical-field/@id	pat:ApplicationBody/pat:Description/pat:TechnicalField/@com:id
application-body/description/technical-field/heading	pat:ApplicationBody/pat:Description/pat:TechnicalField/com:Heading
application-body/description/technical-field/p	pat:ApplicationBody/pat:Description/pat:TechnicalField/com:P
application-body/description/background-art	pat:ApplicationBody/pat:Description/pat:BackgroundArt
application-body/description/background-art/@id	pat:ApplicationBody/pat:Description/pat:BackgroundArt/@com:id
application-body/description/background-art/heading	pat:ApplicationBody/pat:Description/pat:BackgroundArt/com:Heading
application-body/description/background-art/p	pat:ApplicationBody/pat:Description/pat:BackgroundArt/com:P
application-body/description/disclosure	pat:ApplicationBody/pat:Description/pat:Disclosure
application-body/description/disclosure/@id	pat:ApplicationBody/pat:Description/pat:Disclosure/@com:id
application-body/description/disclosure/tech-problem	pat:ApplicationBody/pat:Description/pat:Disclosure/pat:TechnicalProblem
application-body/description/disclosure/tech-problem/@id	pat:ApplicationBody/pat:Description/pat:Disclosure/pat:TechnicalProblem/@com:id
application-body/description/disclosure/tech-problem/heading	pat:ApplicationBody/pat:Description/pat:Disclosure/pat:TechnicalProblem/com:Heading
application-body/description/disclosure/tech-problem/p	pat:ApplicationBody/pat:Description/pat:Disclosure/pat:TechnicalProblem/com:P
application-body/description/disclosure/tech-solution	pat:ApplicationBody/pat:Description/pat:Disclosure/pat:TechnicalSolution
application-body/description/disclosure/tech-solution/@id	pat:ApplicationBody/pat:Description/pat:Disclosure/pat:TechnicalSolution/@com:id
application-body/description/disclosure/tech-solution/heading	pat:ApplicationBody/pat:Description/pat:Disclosure/pat:TechnicalSolution/com:Heading
application-body/description/disclosure/tech-solution/p	pat:ApplicationBody/pat:Description/pat:Disclosure/pat:TechnicalSolution/com:P
application-body/description/disclosure/advantageous-effects	pat:ApplicationBody/pat:Description/pat:Disclosure/pat:AdvantageousEffects
application-body/description/disclosure/advantageous-effects/@id	pat:ApplicationBody/pat:Description/pat:Disclosure/pat:AdvantageousEffects/@com:id
application-body/description/disclosure/advantageous-effects/heading	pat:ApplicationBody/pat:Description/pat:Disclosure/pat:AdvantageousEffects/com:Heading
application-body/description/disclosure/advantageous-effects/p	pat:ApplicationBody/pat:Description/pat:Disclosure/pat:AdvantageousEffects/com:P
application-body/description/disclosure/heading	pat:ApplicationBody/pat:Description/pat:Disclosure/com:Heading
application-body/description/disclosure/p	pat:ApplicationBody/pat:Description/pat:Disclosure/com:P
application-body/description/summary-of-invention	pat:ApplicationBody/pat:Description/pat:InventionSummary
application-body/description/summary-of-invention/@id	pat:ApplicationBody/pat:Description/pat:InventionSummary/@com:id
application-body/description/summary-of-invention/tech-problem	pat:ApplicationBody/pat:Description/pat:InventionSummary/pat:TechnicalProblem
application-body/description/summary-of-invention/tech-problem/@id	pat:ApplicationBody/pat:Description/pat:InventionSummary/pat:TechnicalProblem/@com:id
application-body/description/summary-of-invention/tech-problem/heading	pat:ApplicationBody/pat:Description/pat:InventionSummary/pat:TechnicalProblem/com:Heading
application-body/description/summary-of-invention/tech-problem/p	pat:ApplicationBody/pat:Description/pat:InventionSummary/pat:TechnicalProblem/com:P
application-body/description/summary-of-invention/tech-solution	pat:ApplicationBody/pat:Description/pat:InventionSummary/pat:TechnicalSolution
application-body/description/summary-of-invention/tech-solution/@id	pat:ApplicationBody/pat:Description/pat:InventionSummary/pat:TechnicalSolution/@com:id
application-body/description/summary-of-invention/tech-solution/heading	pat:ApplicationBody/pat:Description/pat:InventionSummary/pat:TechnicalSolution/com:Heading
application-body/description/summary-of-invention/tech-solution/p	pat:ApplicationBody/pat:Description/pat:InventionSummary/pat:TechnicalSolution/com:P
application-body/description/summary-of-invention/advantageous-effects	pat:ApplicationBody/pat:Description/pat:InventionSummary/pat:AdvantageousEffects
application-body/description/summary-of-invention/advantageous-effects/@id	pat:ApplicationBody/pat:Description/pat:InventionSummary/pat:AdvantageousEffects/@com:id
application-body/description/summary-of-invention/advantageous-effects/heading	pat:ApplicationBody/pat:Description/pat:InventionSummary/pat:AdvantageousEffects/com:Heading
application-body/description/summary-of-invention/advantageous-effects/p	pat:ApplicationBody/pat:Description/pat:InventionSummary/pat:AdvantageousEffects/com:P
application-body/description/summary-of-invention/heading	pat:ApplicationBody/pat:Description/pat:InventionSummary/com:Heading
application-body/description/summary-of-invention/p	pat:ApplicationBody/pat:Description/pat:InventionSummary/com:P
application-body/description/description-of-drawings	pat:ApplicationBody/pat:Description/pat:DrawingDescription
application-body/description/description-of-drawings/@id	pat:ApplicationBody/pat:Description/pat:DrawingDescription/@com:id
application-body/description/description-of-drawings/heading	pat:ApplicationBody/pat:Description/pat:DrawingDescription/com:Heading
application-body/description/description-of-drawings/p	pat:ApplicationBody/pat:Description/pat:DrawingDescription/com:P
application-body/description/description-of-embodiments	pat:ApplicationBody/pat:Description/pat:EmbodimentDescription
application-body/description/description-of-embodiments/@id	pat:ApplicationBody/pat:Description/pat:EmbodimentDescription/@com:id
application-body/description/description-of-embodiments/embodiments-example	pat:ApplicationBody/pat:Description/pat:EmbodimentDescription/pat:EmbodimentExample
application-body/description/description-of-embodiments/embodiments-example/@id	pat:ApplicationBody/pat:Description/pat:EmbodimentDescription/pat:EmbodimentExample/@com:id
application-body/description/description-of-embodiments/embodiments-example/@ex-num	pat:ApplicationBody/pat:Description/pat:EmbodimentDescription/pat:EmbodimentExample/@pat:exampleNumber
application-body/description/description-of-embodiments/embodiments-example/heading	pat:ApplicationBody/pat:Description/pat:EmbodimentDescription/pat:EmbodimentExample/com:Heading
